wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
173_038,2023-09-11,2023-09-11T08:04:56.713102+00:00,LC08_L1TP_173038_20230911_20230918_02_T1,0.01,True,4.005,Middle East,"POLYGON Z ((36.134 32.686 6999.999999999999, 38.153 32.393 6999.999999999999, 37.705 30.792 6999.999999999999, 35.72 31.081 6999.999999999999, 36.134 32.686 6999.999999999999))",False,False,False,False,,,
173_038,2023-10-21,2023-10-21T08:05:10.337514+00:00,LC09_L1TP_173038_20231021_20231021_02_T1,0.17,False,3.679,Middle East,"POLYGON Z ((36.134 32.686 6999.999999999999, 38.153 32.393 6999.999999999999, 37.705 30.792 6999.999999999999, 35.72 31.081 6999.999999999999, 36.134 32.686 6999.999999999999))",False,False,False,False,,,
173_038,2024-03-13,2024-03-13T08:05:05.073128+00:00,LC09_L1TP_173038_20240313_20240313_02_T1,0.42,False,3.67,Middle East,"POLYGON Z ((36.134 32.686 6999.999999999999, 38.153 32.393 6999.999999999999, 37.705 30.792 6999.999999999999, 35.72 31.081 6999.999999999999, 36.134 32.686 6999.999999999999))",False,False,False,False,,,
173_038,2024-11-16,2024-11-16T08:04:55.836642+00:00,LC08_L1TP_173038_20241116_20241126_02_T1,0.16,False,3.656,Middle East,"POLYGON Z ((36.134 32.686 6999.999999999999, 38.153 32.393 6999.999999999999, 37.705 30.792 6999.999999999999, 35.72 31.081 6999.999999999999, 36.134 32.686 6999.999999999999))",False,False,False,False,,,
173_039,2022-01-19,2022-01-19T08:05:34.666155+00:00,LC09_L1TP_173039_20220119_20230501_02_T1,36.61,False,4.014,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_039,2022-11-27,2022-11-27T08:05:52.857648+00:00,LC08_L1TP_173039_20221127_20221206_02_T1,11.92,False,3.676,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_039,2023-03-03,2023-03-03T08:05:21.987982+00:00,LC08_L1TP_173039_20230303_20230316_02_T1,0.03,False,3.639,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_039,2023-12-24,2023-12-24T08:05:40.000075+00:00,LC09_L1TP_173039_20231224_20231224_02_T1,13.1,True,3.649,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_039,2024-04-14,2024-04-14T08:05:13.429630+00:00,LC09_L1TP_173039_20240414_20240414_02_T1,0.16,False,3.997,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_039,2024-08-28,2024-08-28T08:05:03.513221+00:00,LC08_L1TP_173039_20240828_20240831_02_T1,0.28,True,3.646,Middle East,"POLYGON Z ((35.764 31.249 6999.999999999999, 37.751 30.96 6999.999999999999, 37.315 29.358 6999.999999999999, 35.358 29.642 6999.999999999999, 35.764 31.249 6999.999999999999))",False,False,False,False,,,
173_051,2022-07-06,2022-07-06T08:10:20.684021+00:00,LC08_L1TP_173051_20220706_20220722_02_T1,0.77,False,3.97,Africa,"POLYGON Z ((31.748 13.945 6999.999999999999, 33.496 13.691 6999.999999999999, 33.135 12.078 6999.999999999999, 31.398 12.33 6999.999999999999, 31.748 13.945 6999.999999999999))",False,False,False,False,,,
173_051,2023-09-19,2023-09-19T08:10:10.760120+00:00,LC09_L1TP_173051_20230919_20230919_02_T1,22.3,False,3.996,Africa,"POLYGON Z ((31.748 13.945 6999.999999999999, 33.496 13.691 6999.999999999999, 33.135 12.078 6999.999999999999, 31.398 12.33 6999.999999999999, 31.748 13.945 6999.999999999999))",False,False,False,False,,,
173_052,2022-03-16,2022-03-16T08:10:25.321751+00:00,LC08_L1TP_173052_20220316_20220322_02_T1,1.68,False,3.641,Africa,"POLYGON Z ((31.435 12.5 6999.999999999999, 33.172 12.247 6999.999999999999, 32.815 10.634 6999.999999999999, 31.087 10.885 6999.999999999999, 31.435 12.5 6999.999999999999))",False,False,False,False,,,
173_052,2022-05-03,2022-05-03T08:10:18.947930+00:00,LC08_L1TP_173052_20220503_20220511_02_T1,39.27,False,3.967,Africa,"POLYGON Z ((31.435 12.5 6999.999999999999, 33.172 12.247 6999.999999999999, 32.815 10.634 6999.999999999999, 31.087 10.885 6999.999999999999, 31.435 12.5 6999.999999999999))",False,False,False,False,,,
173_052,2022-09-16,2022-09-16T08:10:47.962608+00:00,LC09_L1TP_173052_20220916_20230329_02_T1,86.85,False,3.648,Africa,"POLYGON Z ((31.435 12.5 6999.999999999999, 33.172 12.247 6999.999999999999, 32.815 10.634 6999.999999999999, 31.087 10.885 6999.999999999999, 31.435 12.5 6999.999999999999))",False,False,False,False,,,
173_052,2023-03-19,2023-03-19T08:10:24.644353+00:00,LC08_L1TP_173052_20230319_20230324_02_T1,30.24,True,3.98,Africa,"POLYGON Z ((31.435 12.5 6999.999999999999, 33.172 12.247 6999.999999999999, 32.815 10.634 6999.999999999999, 31.087 10.885 6999.999999999999, 31.435 12.5 6999.999999999999))",False,False,False,False,,,
173_053,2024-02-02,2024-02-02T08:10:58.391284+00:00,LC08_L1TP_173053_20240202_20240208_02_T1,34.47,False,3.659,Africa,"POLYGON Z ((31.124 11.054 6999.999999999999, 32.852 10.803 6999.999999999999, 32.498 9.189 6999.999999999999, 30.777 9.439 6999.999999999999, 31.124 11.054 6999.999999999999))",False,False,False,False,,,
173_053,2024-11-08,2024-11-08T08:10:59.266482+00:00,LC09_L1TP_173053_20241108_20241108_02_T1,1.37,False,3.968,Africa,"POLYGON Z ((31.124 11.054 6999.999999999999, 32.852 10.803 6999.999999999999, 32.498 9.189 6999.999999999999, 30.777 9.439 6999.999999999999, 31.124 11.054 6999.999999999999))",False,False,False,False,,,
174_026,2023-02-22,2023-02-22T08:06:26.807073+00:00,LC08_L1TP_174026_20230222_20230301_02_T1,28.05,True,4.007,CIS,"POLYGON Z ((39.947 49.841 6999.999999999999, 42.569 49.458 6999.999999999999, 41.888 47.882 6999.999999999999, 39.343 48.254 6999.999999999999, 39.947 49.841 6999.999999999999))",False,False,False,False,,,
174_026,2023-10-20,2023-10-20T08:06:27.898123+00:00,LC08_L1TP_174026_20231020_20231103_02_T1,90.95,False,3.652,CIS,"POLYGON Z ((39.947 49.841 6999.999999999999, 42.569 49.458 6999.999999999999, 41.888 47.882 6999.999999999999, 39.343 48.254 6999.999999999999, 39.947 49.841 6999.999999999999))",False,False,False,False,,,
174_027,2022-01-02,2022-01-02T08:06:58.233271+00:00,LC08_L1GT_174027_20220102_20220106_02_T2,68.66,True,3.662,CIS,"POLYGON Z ((39.406 48.42 6999.999999999999, 41.957 48.048 6999.999999999999, 41.307 46.469 6999.999999999999, 38.828 46.831 6999.999999999999, 39.406 48.42 6999.999999999999))",False,False,False,False,,,
174_027,2022-12-04,2022-12-04T08:07:17.073828+00:00,LC08_L1TP_174027_20221204_20230112_02_T1,18.7,False,3.649,CIS,"POLYGON Z ((39.406 48.42 6999.999999999999, 41.957 48.048 6999.999999999999, 41.307 46.469 6999.999999999999, 38.828 46.831 6999.999999999999, 39.406 48.42 6999.999999999999))",False,False,False,False,,,
174_028,2022-06-19,2022-06-19T08:06:49.438967+00:00,LC09_L1TP_174028_20220619_20230411_02_T1,26.08,True,3.995,CIS,"POLYGON Z ((38.889 46.997 6999.999999999999, 41.373 46.635 6999.999999999999, 40.751 45.053 6999.999999999999, 38.334 45.406 6999.999999999999, 38.889 46.997 6999.999999999999))",False,False,False,False,,,
174_028,2023-12-07,2023-12-07T08:07:12.617313+00:00,LC08_L1TP_174028_20231207_20231209_02_T1,89.42,False,3.634,CIS,"POLYGON Z ((38.889 46.997 6999.999999999999, 41.373 46.635 6999.999999999999, 40.751 45.053 6999.999999999999, 38.334 45.406 6999.999999999999, 38.889 46.997 6999.999999999999))",False,False,False,False,,,
