mgrs,date,datetime,ID,cloud_percent
47UPU,2023-04-13,2023-04-13T04:23:46.126000+00:00,S2B_47UPU_20230413_0_L1C,30.6480885776012
47UQU,2022-08-01,2022-08-01T04:23:52.106000+00:00,S2A_47UQU_20220801_0_L1C,6.45979276777449
48MVV,2022-01-07,2022-01-07T03:29:26.702000+00:00,S2B_48MVV_20220107_0_L1C,34.1225
48MWB,2023-08-15,2023-08-15T03:29:03.653000+00:00,S2A_48MWB_20230815_0_L1C,31.5592284033563
48NTH,2022-09-12,2022-09-12T03:37:46.232000+00:00,S2A_48NTH_20220912_0_L1C,18.8046821344322
48NUG,2022-01-20,2022-01-20T03:37:42.403000+00:00,S2B_48NUG_20220120_0_L1C,37.1665
48QUM,2022-07-15,2022-07-15T03:51:39.902000+00:00,S2B_48QUM_20220715_0_L1C,22.5510764728717
48QYK,2022-09-17,2022-09-17T03:32:01.807000+00:00,S2B_48QYK_20220917_0_L1C,31.755322643256
48RUR,2023-01-21,2023-01-21T03:50:35.216000+00:00,S2B_48RUR_20230121_0_L1C,29.9259392858615
48RXQ,2021-11-24,2021-11-24T03:40:42.253000+00:00,S2B_48RXQ_20211124_0_L1C,33.4197
48RXR,2023-06-27,2023-06-27T03:40:36.406000+00:00,S2B_48RXR_20230627_0_L1C,41.2428857236705
48RYS,2022-11-09,2022-11-09T03:40:12.854000+00:00,S2B_48RYS_20221109_0_L1C,0.87389889217355
48SUA,2022-04-29,2022-04-29T03:59:13.940000+00:00,S2B_48SUA_20220429_0_L1C,25.4470721729523
48SWF,2022-02-15,2022-02-15T03:47:59.223000+00:00,S2B_48SWF_20220215_0_L1C,0.0
48SWG,2022-09-21,2022-09-21T03:57:54.472000+00:00,S2A_48SWG_20220921_1_L1C,3.93107792458965
48SWH,2023-04-19,2023-04-19T03:57:31.616000+00:00,S2A_48SWH_20230419_0_L1C,39.9521036758339
48SWJ,2022-03-20,2022-03-20T03:57:16.252000+00:00,S2B_48SWJ_20220320_0_L1C,0.293618800203052
48SXB,2022-01-01,2022-01-01T03:49:01.792000+00:00,S2A_48SXB_20220101_0_L1C,0.9806
48SYB,2022-04-23,2022-04-23T03:38:55.489000+00:00,S2B_48SYB_20220423_0_L1C,2.25829376810296
48TWK,2023-01-29,2023-01-29T03:57:01.887000+00:00,S2A_48TWK_20230129_0_L1C,23.8277344799785
48TYL,2023-08-29,2023-08-29T03:46:50.833000+00:00,S2B_48TYL_20230829_0_L1C,8.6448087431694
