mgrs,date,datetime,ID,cloud_percent
39UYU,2022-07-09,2022-07-09T07:35:15.208000+00:00,S2A_39UYU_20220709_0_L1C,10.3423213592523
39UYU,2022-10-22,2022-10-22T07:35:01.664000+00:00,S2B_39UYU_20221022_0_L1C,9.21881811938248
39UYU,2022-12-26,2022-12-26T07:35:00.553000+00:00,S2A_39UYU_20221226_0_L1C,40.527844964018
39VVC,2022-09-13,2022-09-13T07:54:21.026000+00:00,S2A_39VVC_20220913_0_L1C,30.0073590945581
39VVC,2023-02-20,2023-02-20T07:54:08.150000+00:00,S2A_39VVC_20230220_0_L1C,35.9621339816735
39VVC,2023-10-16,2023-10-16T08:04:10.474000+00:00,S2B_39VVC_20231016_0_L1C,0.0
39VWC,2023-02-20,2023-02-20T07:54:03.781000+00:00,S2A_39VWC_20230220_0_L1C,39.0725910000299
39VWD,2022-10-26,2022-10-26T08:03:51.763000+00:00,S2A_39VWD_20221026_0_L1C,23.5927233700906
39VXC,2022-01-28,2022-01-28T07:43:58.850000+00:00,S2B_39VXC_20220128_0_L1C,28.6623368867389
39VXC,2023-06-25,2023-06-25T07:54:06.366000+00:00,S2B_39VXC_20230625_0_L1C,41.0924718248204
39VXD,2023-06-15,2023-06-15T07:53:52.908000+00:00,S2B_39VXD_20230615_0_L1C,19.298247185643
39VXD,2023-07-05,2023-07-05T07:53:53.336000+00:00,S2B_39VXD_20230705_0_L1C,4.97440950759951
39VXE,2023-03-02,2023-03-02T07:53:30.762000+00:00,S2A_39VXE_20230302_0_L1C,42.9994625100779
39VXF,2023-02-02,2023-02-02T07:43:18.263000+00:00,S2B_39VXF_20230202_0_L1C,37.1192273363803
40QBE,2022-03-29,2022-03-29T07:04:42.957000+00:00,S2A_40QBE_20220329_0_L1C,0.865030308459494
40QBE,2022-04-28,2022-04-28T07:04:45.641000+00:00,S2A_40QBE_20220428_0_L1C,11.4501179491773
40QBE,2023-02-12,2023-02-12T07:04:38.629000+00:00,S2A_40QBE_20230212_0_L1C,13.921048702559
40QBE,2023-09-30,2023-09-30T07:04:42.663000+00:00,S2A_40QBE_20230930_0_L1C,0.0
40QBE,2023-12-29,2023-12-29T07:04:37.569000+00:00,S2A_40QBE_20231229_0_L1C,0.167428110722924
40QBF,2022-06-17,2022-06-17T07:04:37.219000+00:00,S2A_40QBF_20220617_0_L1C,0.0
40QBF,2022-07-27,2022-07-27T07:04:35.714000+00:00,S2A_40QBF_20220727_0_L1C,1.73346471975873
40QBF,2023-04-28,2023-04-28T07:04:27.649000+00:00,S2B_40QBF_20230428_0_L1C,1.11977067096659
40QBG,2023-05-23,2023-05-23T07:04:14.741000+00:00,S2A_40QBG_20230523_0_L1C,4.15234853235391
40QBG,2023-12-19,2023-12-19T07:04:07.811000+00:00,S2A_40QBG_20231219_0_L1C,0.0
40QBL,2022-02-27,2022-02-27T07:03:16.681000+00:00,S2A_40QBL_20220227_0_L1C,29.1246976619188
40QBL,2022-10-05,2022-10-05T07:03:20.543000+00:00,S2A_40QBL_20221005_0_L1C,1.19454149123593
40QBL,2023-07-22,2023-07-22T07:03:17.871000+00:00,S2A_40QBL_20230722_0_L1C,40.5831168443369
40QCF,2023-12-16,2023-12-16T06:54:22.984000+00:00,S2A_40QCF_20231216_0_L1C,1.11408673998487
40QCG,2022-06-07,2022-06-07T07:04:15.817000+00:00,S2A_40QCG_20220607_0_L1C,0.387345513547721
40QCH,2023-05-03,2023-05-03T07:03:53.624000+00:00,S2A_40QCH_20230503_0_L1C,0.0
40QCH,2023-08-01,2023-08-01T07:03:58.596000+00:00,S2A_40QCH_20230801_0_L1C,38.0287021544058
40QCJ,2022-07-02,2022-07-02T07:03:44.233000+00:00,S2B_40QCJ_20220702_0_L1C,19.0513601481083
40QCJ,2023-11-24,2023-11-24T07:03:34.248000+00:00,S2B_40QCJ_20231124_0_L1C,0.0
40QCK,2022-01-13,2022-01-13T07:03:20.516000+00:00,S2B_40QCK_20220113_0_L1C,0.0
40QCK,2023-07-02,2023-07-02T07:03:29.374000+00:00,S2A_40QCK_20230702_0_L1C,14.4855325629311
40QCK,2023-10-10,2023-10-10T07:03:23.664000+00:00,S2A_40QCK_20231010_0_L1C,0.0
40QCL,2022-05-18,2022-05-18T07:03:15.849000+00:00,S2A_40QCL_20220518_0_L1C,0.0
40QCL,2022-09-20,2022-09-20T07:03:11.735000+00:00,S2B_40QCL_20220920_0_L1C,0.0
40QCL,2022-11-29,2022-11-29T07:03:08.970000+00:00,S2B_40QCL_20221129_0_L1C,0.0
40QCL,2023-03-24,2023-03-24T07:03:08.853000+00:00,S2A_40QCL_20230324_0_L1C,32.1056167696856
40QCM,2022-08-31,2022-08-31T07:02:56.720000+00:00,S2B_40QCM_20220831_0_L1C,2.27277613544746
40QCM,2023-02-27,2023-02-27T07:02:56.548000+00:00,S2B_40QCM_20230227_0_L1C,13.5190958225089
40QCM,2023-09-05,2023-09-05T07:03:00.402000+00:00,S2B_40QCM_20230905_0_L1C,2.30287557108304
40QDF,2022-01-10,2022-01-10T06:54:19.756000+00:00,S2B_40QDF_20220110_0_L1C,0.0
40QDF,2023-12-01,2023-12-01T06:54:20.844000+00:00,S2B_40QDF_20231201_0_L1C,3.19893099226612
40QDG,2022-04-30,2022-04-30T06:54:02.627000+00:00,S2B_40QDG_20220430_0_L1C,30.7343903968467
40QDG,2022-06-29,2022-06-29T06:54:14.355000+00:00,S2B_40QDG_20220629_0_L1C,6.16279972528293
40QDG,2022-09-12,2022-09-12T06:54:19.615000+00:00,S2A_40QDG_20220912_0_L1C,21.2730150198573
40QDG,2023-03-16,2023-03-16T06:54:13.325000+00:00,S2B_40QDG_20230316_0_L1C,2.90050464331572
40QDG,2023-04-30,2023-04-30T06:54:09.561000+00:00,S2A_40QDG_20230430_0_L1C,0.0
40QDG,2023-09-02,2023-09-02T06:54:14.025000+00:00,S2B_40QDG_20230902_0_L1C,0.0
