mgrs,date,datetime,ID,cloud_percent
09UYV,2023-10-25,2023-10-25T19:29:49.056000+00:00,S2A_9UYV_20231025_0_L1C,0.28619564309221
09VXC,2021-12-30,2021-12-30T19:49:05.665000+00:00,S2A_9VXC_20211230_0_L1C,43.7236
09VXD,2023-11-15,2023-11-15T19:48:49.007000+00:00,S2B_9VXD_20231115_0_L1C,25.584848756308
10SEG,2021-12-30,2021-12-30T19:04:05.442000+00:00,S2B_10SEG_20211230_1_L1C,1.55988533548329
10SEH,2022-06-18,2022-06-18T19:03:59.168000+00:00,S2B_10SEH_20220618_0_L1C,13.6246827316432
10SFH,2022-10-11,2022-10-11T19:03:57.027000+00:00,S2A_10SFH_20221011_0_L1C,0.522888112514557
10UCF,2023-04-01,2023-04-01T19:39:30.605000+00:00,S2A_10UCF_20230401_0_L1C,36.5696795962853
10UCG,2023-07-20,2023-07-20T19:39:21.469000+00:00,S2A_10UCG_20230720_0_L1C,19.9540446116635
10UDD,2022-11-14,2022-11-14T19:29:58.171000+00:00,S2B_10UDD_20221114_0_L1C,1.19269013705993
10UDE,2023-10-13,2023-10-13T19:39:42.844000+00:00,S2B_10UDE_20231013_0_L1C,0.0107696089238247
10UDF,2022-09-25,2022-09-25T19:29:30.351000+00:00,S2B_10UDF_20220925_0_L1C,47.8827077547852
10UDG,2022-01-13,2022-01-13T19:29:16.512000+00:00,S2A_10UDG_20220113_0_L1C,32.9998
10UEB,2021-12-31,2021-12-31T19:20:27.672000+00:00,S2A_10UEB_20211231_0_L1C,0.7088
10UEC,2022-05-30,2022-05-30T19:20:19.390000+00:00,S2A_10UEC_20220530_0_L1C,42.3705395801607
10UED,2023-02-14,2023-02-14T19:19:54.327000+00:00,S2A_10UED_20230214_0_L1C,5.43444115978381
10UEE,2022-10-30,2022-10-30T19:29:43.656000+00:00,S2A_10UEE_20221030_0_L1C,46.1845382065753
10UFA,2022-12-01,2022-12-01T19:20:34.168000+00:00,S2B_10UFA_20221201_0_L1C,10.3173819439249
10UFB,2023-06-06,2023-06-06T19:10:29.818000+00:00,S2B_10UFB_20230606_0_L1C,0.274919284368644
10UFC,2022-12-01,2022-12-01T19:20:05.878000+00:00,S2B_10UFC_20221201_0_L1C,49.9813371554839
10UFD,2023-01-10,2023-01-10T19:19:49.412000+00:00,S2B_10UFD_20230110_0_L1C,46.5149750664397
10UFE,2023-04-05,2023-04-05T19:19:38.732000+00:00,S2A_10UFE_20230405_0_L1C,13.2971124846965
10UGD,2022-07-06,2022-07-06T19:10:05.805000+00:00,S2A_10UGD_20220706_0_L1C,39.8813938905312
10VCH,2022-08-12,2022-08-12T19:49:03.727000+00:00,S2B_10VCH_20220812_0_L1C,3.08809077262566
10VCJ,2023-08-27,2023-08-27T19:48:51.036000+00:00,S2B_10VCJ_20230827_0_L1C,0.0
10VCK,2022-07-03,2022-07-03T19:48:37.843000+00:00,S2B_10VCK_20220703_0_L1C,16.1174714085222
10VCL,2022-09-29,2022-09-29T19:58:22.454000+00:00,S2A_10VCL_20220929_0_L1C,35.1452407564716
10VDH,2022-07-22,2022-07-22T19:29:12.212000+00:00,S2A_10VDH_20220722_0_L1C,24.5562040529012
11SKA,2023-03-27,2023-03-27T18:54:18.036000+00:00,S2A_11SKA_20230327_0_L1C,0.172414822777628
11SLA,2022-03-12,2022-03-12T18:54:19.693000+00:00,S2A_11SLA_20220312_0_L1C,0.0269529061184639
11SMU,2023-07-02,2023-07-02T18:44:49.940000+00:00,S2A_11SMU_20230702_0_L1C,0.00761444056257279
11SMV,2023-08-11,2023-08-11T18:44:35.411000+00:00,S2A_11SMV_20230811_0_L1C,1.2427065603631
11SNS,2022-05-05,2022-05-05T18:35:18.958000+00:00,S2A_11SNS_20220505_0_L1C,0.0
11TMN,2023-09-01,2023-09-01T19:01:20.953000+00:00,S2B_11TMN_20230901_0_L1C,19.3045477619517
11TNN,2022-06-15,2022-06-15T18:51:19.278000+00:00,S2B_11TNN_20220615_0_L1C,47.0558392307922
11TPL,2022-04-08,2022-04-08T18:41:45.053000+00:00,S2A_11TPL_20220408_0_L1C,20.4457583086984
11TPM,2022-07-17,2022-07-17T18:41:41.632000+00:00,S2A_11TPM_20220717_0_L1C,0.010386554966917
11TPN,2022-05-26,2022-05-26T18:51:11.895000+00:00,S2B_11TPN_20220526_0_L1C,43.2444981934366
11TQJ,2023-02-12,2023-02-12T18:42:07.695000+00:00,S2A_11TQJ_20230212_0_L1C,0.0
11TQK,2022-10-25,2022-10-25T18:41:58.190000+00:00,S2A_11TQK_20221025_0_L1C,23.3187912448864
11TQL,2022-03-24,2022-03-24T18:41:38.335000+00:00,S2B_11TQL_20220324_0_L1C,0.0
11ULQ,2022-09-24,2022-09-24T19:10:55.389000+00:00,S2A_11ULQ_20220924_0_L1C,2.91966684107962
11ULR,2023-02-08,2023-02-08T19:00:36.180000+00:00,S2A_11ULR_20230208_0_L1C,7.68016252906463
11ULS,2022-02-16,2022-02-16T19:10:21.065000+00:00,S2A_11ULS_20220216_0_L1C,43.7821374182567
11ULT,2022-04-17,2022-04-17T19:10:09.851000+00:00,S2A_11ULT_20220417_0_L1C,48.9762907223267
11UMP,2022-02-23,2022-02-23T19:01:04.281000+00:00,S2A_11UMP_20220223_0_L1C,22.8064140464033
11UMQ,2022-02-13,2022-02-13T19:00:47.571000+00:00,S2A_11UMQ_20220213_0_L1C,11.916151572158
11UMR,2023-03-30,2023-03-30T19:00:31.389000+00:00,S2A_11UMR_20230330_0_L1C,0.24004897130401
11UMS,2022-07-01,2022-07-01T19:10:20.398000+00:00,S2B_11UMS_20220701_0_L1C,39.1310493012043
11UMT,2023-07-16,2023-07-16T19:10:06.491000+00:00,S2B_11UMT_20230716_0_L1C,20.1933488553265
11UNP,2022-06-30,2022-06-30T18:51:14.082000+00:00,S2A_11UNP_20220630_0_L1C,40.1348502493356
11UNQ,2022-03-05,2022-03-05T19:00:46.815000+00:00,S2A_11UNQ_20220305_0_L1C,17.3405880212451
11UNR,2023-07-10,2023-07-10T18:50:37.248000+00:00,S2B_11UNR_20230710_0_L1C,48.1297066802441
11UNS,2022-04-11,2022-04-11T18:50:19.725000+00:00,S2A_11UNS_20220411_0_L1C,30.9842450381587
11UPP,2022-05-11,2022-05-11T18:51:00.995000+00:00,S2A_11UPP_20220511_0_L1C,24.1418206803316
11VNE,2023-05-27,2023-05-27T19:08:21.963000+00:00,S2B_11VNE_20230527_0_L1C,3.23431574546866
11VNF,2023-09-27,2023-09-27T19:18:03.065000+00:00,S2B_11VNF_20230927_0_L1C,11.6217668434513
11VPE,2023-11-23,2023-11-23T19:08:07.793000+00:00,S2B_11VPE_20231123_0_L1C,21.3668368718087
