mgrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,OG_producing,overlapping_area,omni_nodata_perc,omni_cloud_perc,omni_cloud_shadow_perc
39RUP,2018-08-06,2018-08-06T07:16:21.024000+00:00,S2A_MSIL2A_20180806T071621_N0212_R006_T39RUP_20201010T215018,9.354561,False,0.0,Middle East,"POLYGON Z ((48.9113966287 30.7162636631 0, 50.05782963760001 30.7296502514 0, 50.06723105420001 29.7389165957 0, 48.9322232059 29.7260490256 0, 48.9113966287 30.7162636631 0))",True,3267264147.6876483,0.0,0.07801898467490154,0.06523866875026957
39RUP,2020-05-02,2020-05-02T07:16:19.024000+00:00,S2B_MSIL2A_20200502T071619_N0212_R006_T39RUP_20200920T054521,49.781642,False,0.0,Middle East,"POLYGON Z ((48.9113966287 30.7162636631 0, 50.05782963760001 30.7296502514 0, 50.06723105420001 29.7389165957 0, 48.9322232059 29.7260490256 0, 48.9113966287 30.7162636631 0))",True,3267264147.6876483,0.0,41.700150298107836,9.238499540479294
39RUP,2020-07-26,2020-07-26T07:16:21.024000+00:00,S2A_MSIL2A_20200726T071621_N0212_R006_T39RUP_20200817T141850,7.11637,True,26.511,Middle East,"POLYGON Z ((48.9113966287 30.7162636631 0, 50.05782963760001 30.7296502514 0, 50.06723105420001 29.7389165957 0, 48.9322232059 29.7260490256 0, 48.9113966287 30.7162636631 0))",True,3267264147.6876483,21.854307052730416,0.614613137328744,0.19027571212222208
39RUP,2022-02-26,2022-02-26T07:18:51.024000+00:00,S2A_MSIL2A_20220226T071851_N0510_R006_T39RUP_20240531T120059,5.996798,False,0.0,Middle East,"POLYGON Z ((48.9113966287 30.7162636631 0, 50.05782963760001 30.7296502514 0, 50.06723105420001 29.7389165957 0, 48.9322232059 29.7260490256 0, 48.9113966287 30.7162636631 0))",True,3267264147.6876483,0.0,8.007843371455303,1.598000670203483
39RUP,2024-09-08,2024-09-08T07:16:19.024000+00:00,S2B_MSIL2A_20240908T071619_N0511_R006_T39RUP_20240908T105518,0.415898,False,0.0,Middle East,"POLYGON Z ((48.9113966287 30.7162636631 0, 50.05782963760001 30.7296502514 0, 50.06723105420001 29.7389165957 0, 48.9322232059 29.7260490256 0, 48.9113966287 30.7162636631 0))",True,3267264147.6876483,0.0,7.416644271253247,0.07756775856748982
39RUQ,2018-08-26,2018-08-26T07:16:21.024000+00:00,S2A_MSIL2A_20180826T071621_N0212_R006_T39RUQ_20201027T040452,0.168589,False,0.0,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,0.0,0.18553024044379415,0.0011380187856045601
39RUQ,2021-09-04,2021-09-04T07:16:19.024000+00:00,S2B_MSIL2A_20210904T071619_N0300_R006_T39RUQ_20210904T164757,1.897343,False,0.0,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,0.0,2.284670588352394,0.39825348953719464
39RUQ,2023-01-15,2023-01-15T07:32:41.025000+00:00,S2A_MSIL2A_20230115T073241_N0400_R049_T39RUQ_20230115T182802,92.173505,False,90.728,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,74.45496199415396,32.94456638915226,3.2947800449391504
39RUQ,2023-05-22,2023-05-22T07:16:21.024000+00:00,S2A_MSIL2A_20230522T071621_N0509_R006_T39RUQ_20230522T124534,0.181794,True,0.0,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,0.0,0.19947180002720627,0.1904406422009217
39RUQ,2024-05-29,2024-05-29T07:27:31.024000+00:00,S2A_MSIL2A_20240529T072731_N0510_R049_T39RUQ_20240529T111220,1.444108,False,90.78,Middle East,"POLYGON Z ((48.8915059676 31.6181357244 0, 50.0488505216 31.6320042048 0, 50.0586861056 30.6414107828 0, 48.91329390950001 30.6280708398 0, 48.8915059676 31.6181357244 0))",True,11317422698.178865,74.50008460489514,0.0,0.00018215647240980002
