Name,geometry,EI_region,OG_producing
13SCA,"POLYGON Z ((-107.2483799039 37.0252757852 0, -106.0143025385 37.0422472418 0, -106.001451963 36.0525410086 0, -107.2199171917 36.0361676977 0, -107.2483799039 37.0252757852 0))",USA,True
13SCB,"POLYGON Z ((-107.2755282362 37.9255817499 0, -106.026560059 37.9431111742 0, -106.0131251433 36.9535591425 0, -107.2457721304 36.936641907 0, -107.2755282362 37.9255817499 0))",USA,True
13SDA,"POLYGON Z ((-106.1249352626 37.0412497841 0, -104.8902406792 37.0465322806 0, -104.8916315425 36.0566749851 0, -106.1106837122 36.0515787125 0, -106.1249352626 37.0412497841 0))",USA,True
13SDB,"POLYGON Z ((-106.1385290788 37.9420809161 0, -104.8889139942 37.9475371324 0, -104.8903681133 36.9578304876 0, -106.1236295084 36.9525648722 0, -106.1385290788 37.9420809161 0))",USA,True
13SDC,"POLYGON Z ((-106.1527513507 38.843310058 0, -104.8875259619 38.8489443328 0, -104.8890464194 37.8593896848 0, -106.137172196 37.8539506479 0, -106.1527513507 38.843310058 0))",USA,True
13SEA,"POLYGON Z ((-105.0002249168 37.0465830501 0, -103.7655619687 37.0401609039 0, -103.7811999799 36.0505282155 0, -105.0002220667 36.0567239647 0, -105.0002249168 37.0465830501 0))",USA,True
13SEB,"POLYGON Z ((-105.0002276355 37.9475895716 0, -103.7506457084 37.9409562301 0, -103.7669947518 36.9514794714 0, -105.0002246557 36.9578810948 0, -105.0002276355 37.9475895716 0))",USA,True
13SED,"POLYGON Z ((-105.0002334544 39.7502679266 0, -103.7187196513 39.7431961917 0, -103.7365967808 38.7540360478 0, -105.000230196 38.7608644567 0, -105.0002334544 39.7502679266 0))",USA,True
13SER,"POLYGON Z ((-105.0002129918 32.537355236 0, -103.8309927331 32.5319217595 0, -103.8435111229 31.5415371135 0, -105.0002107104 31.5467667563 0, -105.0002129918 32.537355236 0))",USA,True
13SES,"POLYGON Z ((-105.0002151698 33.4395750671 0, -103.8190423988 33.4339520627 0, -103.8321328731 32.4437136478 0, -105.000212784 32.4491287927 0, -105.0002151698 33.4395750671 0))",USA,True
13SET,"POLYGON Z ((-105.0002174469 34.3416634592 0, -103.8065477965 34.3358470405 0, -103.8202345469 33.3457570767 0, -105.0002149525 33.3513613811 0, -105.0002174469 34.3416634592 0))",USA,True
13SFC,"POLYGON Z ((-103.8477094787 38.8433146054 0, -102.5832677968 38.8239923461 0, -102.6159000287 37.8353021099 0, -103.8632824087 37.8539550377 0, -103.8477094787 38.8433146054 0))",USA,True
13SFD,"POLYGON Z ((-103.8328420445 39.7443998961 0, -102.5521150239 39.7244518411 0, -102.5862397213 38.7359364307 0, -103.8491277804 38.7551983381 0, -103.8328420445 39.7443998961 0))",USA,True
13SFR,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",USA,True
13SFS,"POLYGON Z ((-103.9242337357 33.4349091884 0, -102.7436315804 33.4190467071 0, -102.76862412 32.4293591611 0, -103.9361587687 32.4446353942 0, -103.9242337357 33.4349091884 0))",USA,True
13SFT,"POLYGON Z ((-103.9128515066 34.3368370866 0, -102.7197772708 34.3204291115 0, -102.7459076226 33.3309012795 0, -103.925319748 33.3467110196 0, -103.9128515066 34.3368370866 0))",USA,True
13SGA,"POLYGON Z ((-102.752069457 37.0252843026 0, -101.5194144911 36.9955106534 0, -101.5634139803 36.0074510114 0, -102.7805264921 36.0361759149 0, -102.752069457 37.0252843026 0))",USA,True
13SGB,"POLYGON Z ((-102.7249265393 37.9255905472 0, -101.477449085 37.8948386585 0, -101.5234456557 36.9069718126 0, -102.7546767104 36.9366503972 0, -102.7249265393 37.9255905472 0))",USA,True
13SGC,"POLYGON Z ((-102.6965295969 38.8262817083 0, -101.4335472033 38.7945272395 0, -101.48163776 37.8068570321 0, -102.7276358074 37.8375121853 0, -102.6965295969 38.8262817083 0))",USA,True
13SGD,"POLYGON Z ((-102.666833532 39.7268153311 0, -101.3876394819 39.6940331175 0, -101.4379268563 38.7065632944 0, -102.6993625473 38.7382186438 0, -102.666833532 39.7268153311 0))",USA,True
13SGR,"POLYGON Z ((-102.871141153 32.5193348717 0, -101.7035354961 32.4941417267 0, -101.7387689153 31.5051737443 0, -102.8939237565 31.5294223274 0, -102.871141153 32.5193348717 0))",USA,True
13SGS,"POLYGON Z ((-102.84939281 33.4209262161 0, -101.6699029228 33.3948548602 0, -101.7067443676 32.4060610176 0, -102.8732161095 32.4311692173 0, -102.84939281 33.4209262161 0))",USA,True
13SGT,"POLYGON Z ((-102.82665442 34.322373244 0, -101.63474073 34.2954057299 0, -101.6732579699 33.3067898319 0, -102.8515623739 33.3327745403 0, -102.82665442 34.322373244 0))",USA,True
13SGV,"POLYGON Z ((-102.7780477118 36.124284255 0, -101.5595812636 36.0954669932 0, -101.6016716521 35.1072181615 0, -102.8052687156 35.1350099022 0, -102.7780477118 36.124284255 0))",USA,True
13TBE,"POLYGON Z ((-108.5454637015 40.5964014683 0, -107.24913478 40.6289489934 0, -107.2167646565 39.6404485626 0, -108.4945126476 39.609013147 0, -108.5454637015 40.5964014683 0))",USA,True
13TBF,"POLYGON Z ((-108.5941245518 41.4956464351 0, -107.2800518845 41.5292355003 0, -107.2461861184 40.5409099944 0, -108.5408226025 40.5084628253 0, -108.5941245518 41.4956464351 0))",USA,True
13TBG,"POLYGON Z ((-108.6450457662 42.3947013935 0, -107.3124072414 42.4293608719 0, -107.2769665673 41.4412121665 0, -108.5892686678 41.4077261895 0, -108.6450457662 42.3947013935 0))",USA,True
13TCE,"POLYGON Z ((-107.364680787 40.6266397268 0, -106.0668152042 40.6459284901 0, -106.0514493575 39.6568474863 0, -107.3306513026 39.6382182344 0, -107.364680787 40.6266397268 0))",USA,True
13TCF,"POLYGON Z ((-107.3971826192 41.526852301 0, -106.0814918074 41.5467587694 0, -106.0654154757 40.5578370988 0, -107.3615809774 40.5386078513 0, -107.3971826192 41.526852301 0))",USA,True
13TCG,"POLYGON Z ((-107.4311962672 42.426901687 0, -106.0968516842 42.4474430295 0, -106.0800271602 41.4586816132 0, -107.3939391636 41.438836285 0, -107.4311962672 42.426901687 0))",USA,True
13TCH,"POLYGON Z ((-107.4667820488 43.3262463354 0, -106.112922165 43.3474403884 0, -106.0953092472 42.3588399172 0, -107.427780682 42.3383618247 0, -107.4667820488 43.3262463354 0))",USA,True
13TCJ,"POLYGON Z ((-107.5040714071 44.2259641543 0, -106.1297627132 44.2478306835 0, -106.1113169858 43.2593919101 0, -107.4632276769 43.2382625528 0, -107.5040714071 44.2259641543 0))",USA,True
13TCK,"POLYGON Z ((-107.543139483 45.12551356149999 0, -106.1474073816 45.1480731824 0, -106.1280812959 44.1597966332 0, -107.5003483869 44.1379967477 0, -107.543139483 45.12551356149999 0))",USA,True
13TCL,"POLYGON Z ((-107.5840651204 46.0243533958 0, -106.1658919103 46.04762762250001 0, -106.1456345355 45.05951359960001 0, -107.539214207 45.0370231163 0, -107.5840651204 46.0243533958 0))",USA,True
13TCM,"POLYGON Z ((-107.6270101924 46.923561008 0, -106.1852895602 46.9475736554 0, -106.164044483 45.959622532 0, -107.5799749214 45.93641922869999 0, -107.6270101924 46.923561008 0))",USA,True
13TDE,"POLYGON Z ((-106.1831726066 40.6447948038 0, -104.8845569324 40.6507988109 0, -104.8862200855 39.6615512269 0, -106.1661316955 39.6557525722 0, -106.1831726066 40.6447948038 0))",USA,True
13TDF,"POLYGON Z ((-106.1994491016 41.5455887675 0, -104.8829683656 41.5517851164 0, -104.8847084355 40.5626923868 0, -106.1816202922 40.5567069114 0, -106.1994491016 41.5455887675 0))",USA,True
13TDG,"POLYGON Z ((-106.216483315 42.4462357017 0, -104.8813058264 42.4526297453 0, -104.8831268968 41.4636925165 0, -106.1978247953 41.4575152058 0, -106.216483315 42.4462357017 0))",USA,True
13TDH,"POLYGON Z ((-106.2343055502 43.3461946848 0, -104.8795663539 43.3527919848 0, -104.8814727791 42.3640106559 0, -106.2147727431 42.3576363081 0, -106.2343055502 43.3461946848 0))",USA,True
13TDJ,"POLYGON Z ((-106.2529817457 44.2465454409 0, -104.8777435091 44.2533521605 0, -104.8797400997 43.2647271634 0, -106.2325254013 43.2581500103 0, -106.2529817457 44.2465454409 0))",USA,True
13TDK,"POLYGON Z ((-106.2725496583 45.1467471874 0, -104.8758336028 45.1537697555 0, -104.8779255091 44.1653012744 0, -106.2511170534 44.1585153091 0, -106.2725496583 45.1467471874 0))",USA,True
13TDL,"POLYGON Z ((-106.2930489153 46.04625960850001 0, -104.8738327628 46.0535047353 0, -104.8760255015 45.06519270610001 0, -106.2705835769 45.0581916698 0, -106.2930489153 46.04625960850001 0))",USA,True
13TDN,"POLYGON Z ((-106.3371347095 47.8459148268 0, -104.8695296381 47.8536277114 0, -104.8719428388 46.8656282473 0, -106.3124114995 46.8581759575 0, -106.3371347095 47.8459148268 0))",USA,True
13TEE,"POLYGON Z ((-105.0002365639 40.6508565153 0, -103.7016593384 40.6435572136 0, -103.7203579214 39.6545573065 0, -105.0002331558 39.6616069575 0, -105.0002365639 40.6508565153 0))",USA,True
13TEF,"POLYGON Z ((-105.0002398192 41.5518446696 0, -103.6837995746 41.544311535 0, -103.7033626538 40.5554731408 0, -105.0002362534 40.5627499131 0, -105.0002398192 41.5518446696 0))",USA,True
13TEG,"POLYGON Z ((-105.000243226 42.4526911987 0, -103.6651084331 42.4449177239 0, -103.6855818807 41.4562418971 0, -105.0002394943 41.4637518867 0, -105.000243226 42.4526911987 0))",USA,True
13TEH,"POLYGON Z ((-105.0002467905 43.3528553919 0, -103.64555267 43.344834816 0, -103.6669853912 42.3563223896 0, -105.0002428839 42.36407192 0, -105.0002467905 43.3528553919 0))",USA,True
13TEJ,"POLYGON Z ((-105.0002505259 44.2534175806 0, -103.6250599413 44.2451424114 0, -103.6475059675 43.2567942937 0, -105.0002464345 43.2647903769 0, -105.0002505259 44.2534175806 0))",USA,True
13TEK,"POLYGON Z ((-105.0002544396 45.1538372504 0, -103.6035888269 45.1452996726 0, -103.6271059996 44.1571165569 0, -105.0002501529 44.165366495 0, -105.0002544396 45.1538372504 0))",USA,True
13TEL,"POLYGON Z ((-105.0002585397 46.0535743695 0, -103.5810958557 46.0447662264 0, -103.605746129 45.05674859260001 0, -105.0002540464 45.06525999400001 0, -105.0002585397 46.0535743695 0))",USA,True
13TEM,"POLYGON Z ((-105.0002628424 46.9537091787 0, -103.5574919021 46.94462144090001 0, -103.5833438984 45.9567698586 0, -105.00025813 45.965551148 0, -105.0002628424 46.9537091787 0))",USA,True
13TEN,"POLYGON Z ((-105.0002673577 47.853701842 0, -103.5327226232 47.844325046 0, -103.5598501756 46.85663988139999 0, -105.0002624126 46.8656998729 0, -105.0002673577 47.853701842 0))",USA,True
13TFE,"POLYGON Z ((-103.8173003773 40.6447996495 0, -102.51955068 40.6242099087 0, -102.5552421779 39.6358714699 0, -103.8343344799 39.6557572523 0, -103.8173003773 40.6447996495 0))",USA,True
13TFF,"POLYGON Z ((-103.8010303852 41.5455937685 0, -102.4854616094 41.5243446964 0, -102.5228018784 40.536185528 0, -103.8188520715 40.5567117422 0, -103.8010303852 41.5455937685 0))",USA,True
13TFL,"POLYGON Z ((-103.7074679642 46.0462654558 0, -102.2894558524 46.02142174199999 0, -102.3364957922 45.03419013980001 0, -103.7299243282 45.0581973201 0, -103.7074679642 46.0462654558 0))",USA,True
13TFM,"POLYGON Z ((-103.6859647196 46.9461682535 0, -102.244415084 46.9205363877 0, -102.293745667 45.9334965044 0, -103.7095159313 45.9582645179 0, -103.6859647196 46.9461682535 0))",USA,True
13TFN,"POLYGON Z ((-103.66339978 47.8459210516 0, -102.1971533171 47.8194744024 0, -102.2489150014 46.8326283187 0, -103.6881131145 46.858181972 0, -103.66339978 47.8459210516 0))",USA,True
13TGE,"POLYGON Z ((-102.6357917663 40.6266494069 0, -101.339654308 40.5928134217 0, -101.392247643 39.6055476373 0, -102.6698144654 39.6382275836 0, -102.6357917663 40.6266494069 0))",USA,True
13TGF,"POLYGON Z ((-102.6032964141 41.526862291 0, -101.2894253513 41.4919436333 0, -101.3444449856 40.504885836 0, -102.6388909579 40.5386175015 0, -102.6032964141 41.526862291 0))",USA,True
13TGN,"POLYGON Z ((-102.3284605736 47.8226075595 0, -100.8647415247 47.7791570714 0, -100.940970135 46.7936706873 0, -102.3778043445 46.8356557267 0, -102.3284605736 47.8226075595 0))",USA,True
13UDP,"POLYGON Z ((-106.3608231977 48.744977688 0, -104.86721739 48.7529365093 0, -104.8697511902 47.765092664 0, -106.3348649319 47.7574035313 0, -106.3608231977 48.744977688 0))",USA,True
13UEP,"POLYGON Z ((-105.0002720959 48.753013004 0, -103.5067305244 48.7433372242 0, -103.5352131331 47.7558186453 0, -105.0002669037 47.7651665662 0, -105.0002720959 48.753013004 0))",USA,True
13UFP,"POLYGON Z ((-103.6397207537 48.7449841112 0, -102.1475612915 48.7176947506 0, -102.2019052847 47.7310444772 0, -103.665668651 47.7574097369 0, -103.6397207537 48.7449841112 0))",USA,True
13UGP,"POLYGON Z ((-102.2811847372 48.7209276976 0, -100.7917155642 48.6760944472 0, -100.871739344 47.6908510648 0, -102.3329905819 47.73416799630001 0, -102.2811847372 48.7209276976 0))",USA,True
14RKU,"POLYGON Z ((-102.1320174883 30.6952740477 0, -100.9865237501 30.7178664205 0, -100.9667134142 29.7275896486 0, -102.1008205074 29.7058729413 0, -102.1320174883 30.6952740477 0))",USA,True
14RKV,"POLYGON Z ((-102.1618115593 31.5963908009 0, -101.0054438852 31.6197961708 0, -100.9847190459 30.6296680131 0, -102.1291755165 30.6071543369 0, -102.1618115593 31.5963908009 0))",USA,True
14RLT,"POLYGON Z ((-101.0695900849 29.8142550531 0, -99.93358748350002 29.8271684438 0, -99.9246039624 28.83629709710001 0, -101.0496888838 28.8238937147 0, -101.0695900849 29.8142550531 0))",USA,True
14RLU,"POLYGON Z ((-101.0886033713 30.7162636631 0, -99.9421703624 30.7296502514 0, -99.9327689458 29.7389165957 0, -101.0677767941 29.7260490256 0, -101.0886033713 30.7162636631 0))",USA,True
14RLV,"POLYGON Z ((-101.1084940324 31.6181357244 0, -99.9511494784 31.6320042048 0, -99.9413138944 30.6414107828 0, -101.0867060905 30.6280708398 0, -101.1084940324 31.6181357244 0))",USA,True
14RMR,"POLYGON Z ((-100.0176413134 28.0216674554 0, -98.9007115873 28.0253996619 0, -98.9015982627 27.0341365677 0, -100.0085553379 27.0305579491 0, -100.0176413134 28.0216674554 0))",USA,True
14RMS,"POLYGON Z ((-100.0263297929 28.9243709775 0, -98.8998636978 28.9282454963 0, -98.90079241339998 27.9371125838 0, -100.0168130709 27.9333941674 0, -100.0263297929 28.9243709775 0))",USA,True
14RMT,"POLYGON Z ((-100.035420201 29.8264095225 0, -98.89897658020001 29.8304286928 0, -98.8999488538 28.839428565 0, -100.0254571862 28.8355681524 0, -100.035420201 29.8264095225 0))",USA,True
14RNQ,"POLYGON Z ((-99.0002018011 27.1224696414 0, -97.8923973092 27.1181024529 0, -97.9019109617 26.1268943684 0, -99.0002000673 26.1310777269 0, -99.0002018011 27.1224696414 0))",USA,True
14RNR,"POLYGON Z ((-99.00020346 28.0254355311 0, -97.88329473849998 28.0208981204 0, -97.8932647807 27.0298202725 0, -99.00020164300001 27.0341709608 0, -99.00020346 28.0254355311 0))",USA,True
14RNS,"POLYGON Z ((-99.0002051975 28.9282827332 0, -97.87376087950001 28.9235723083 0, -97.88420356860001 27.9326276748 0, -99.0002032944 27.9371483204 0, -99.0002051975 28.9282827332 0))",USA,True
14RNT,"POLYGON Z ((-99.0002070153 29.83046732 0, -97.8637859961 29.8255810371 0, -97.87471838939999 28.8347723909 0, -99.000205023 28.8394656664 0, -99.0002070153 29.83046732 0))",USA,True
14RPQ,"POLYGON Z ((-97.9910576381 27.1188458263 0, -96.88368977899998 27.1065254586 0, -96.90185578380002 26.1158046263 0, -97.9997242195 26.1276064517 0, -97.9910576381 27.1188458263 0))",USA,True
14RPR,"POLYGON Z ((-97.982765528 28.0216704677 0, -96.8663090106 28.0088699502 0, -96.88534617440001 27.0182870127 0, -97.9918478726 27.0305608374 0, -97.982765528 28.0216704677 0))",USA,True
14RPS,"POLYGON Z ((-97.9740805205 28.9243741047 0, -96.84810503109999 28.9110855698 0, -96.86804435 27.9206439403 0, -97.9835934395 27.9333971686 0, -97.9740805205 28.9243741047 0))",USA,True
14RPT,"POLYGON Z ((-97.9649937452 29.8264127664 0, -96.829059296 29.8126282011 0, -96.84993328929998 28.8223311059 0, -97.9749527786 28.8355712682 0, -97.9649937452 29.8264127664 0))",USA,True
14RPU,"POLYGON Z ((-97.9554788702 30.7288668795 0, -96.8091166686 30.7145772058 0, -96.8309612202 29.7244279453 0, -97.9659011666 29.7381636 0, -97.9554788702 30.7288668795 0))",USA,True
14RPV,"POLYGON Z ((-97.9455247432 31.63119262920001 0, -96.78825383349998 31.6163885677 0, -96.81110668339998 30.626390258 0, -97.9564283398 30.6406301409 0, -97.9455247432 31.63119262920001 0))",USA,True
14RQS,"POLYGON Z ((-96.9489781318 28.9126601348 0, -95.8239167132 28.8908178781 0, -95.8533139322 27.9011924562 0, -96.96798438139999 27.9221550832 0, -96.9489781318 28.9126601348 0))",USA,True
14RQT,"POLYGON Z ((-96.930823608 29.8142615342 0, -95.7958377804 29.7916042166 0, -95.8266121391 28.8021371689 0, -96.95072083779999 28.8238999399 0, -96.930823608 29.8142615342 0))",USA,True
14RQU,"POLYGON Z ((-96.91181411549998 30.7162703816 0, -95.76643746130001 30.6927831157 0, -95.7986417305 29.703478533 0, -96.93263653689999 29.7260554837 0, -96.91181411549998 30.7162703816 0))",USA,True
14RQV,"POLYGON Z ((-96.8919274231 31.6181426848 0, -95.73568151720002 31.5938102557 0, -95.7693711895 30.6046720794 0, -96.91371101760001 30.628077535 0, -96.8919274231 31.6181426848 0))",USA,True
14SKA,"POLYGON Z ((-102.1929523539 32.496813532 0, -101.0252199246 32.5210468637 0, -101.0035445779 31.5310701142 0, -102.1588207126 31.50774539940001 0, -102.1929523539 32.496813532 0))",USA,True
14SKB,"POLYGON Z ((-102.2255333482 33.3976197781 0, -101.0459113336 33.4226979051 0, -101.0232458105 32.4328754352 0, -102.1898438202 32.4087238164 0, -102.2255333482 33.3976197781 0))",USA,True
14SKC,"POLYGON Z ((-102.259596283 34.2982656608 0, -101.0675447348 34.324205852 0, -101.0438472044 33.3345403393 0, -102.2222831961 33.3095455631 0, -102.259596283 34.2982656608 0))",USA,True
14SKE,"POLYGON Z ((-102.3324065876 36.0985230303 0, -101.1137895726 36.1262426116 0, -101.0878912417 35.1368985412 0, -102.2916316773 35.1101654766 0, -102.3324065876 36.0985230303 0))",USA,True
