varon_frac,methane_concentration_mol/m2,orbio_frac
0.0,0.0,0.0
-0.0035289076274734876,0.1000100010001,-0.0029544415576582272
-0.0069866028205436415,0.2000200020002,-0.005854091464993161
-0.010376159462823886,0.3000300030003,-0.00870112569731929
-0.013700451912485256,0.4000400040004,-0.011497582458634081
-0.016962171328711917,0.5000500050005,-0.014245373689484753
-0.020163840450511894,0.6000600060006,-0.016946295440685266
-0.02330782699031131,0.7000700070007,-0.019602037236462144
-0.026396355786416414,0.8000800080008,-0.02221419053628948
-0.029431519842270215,0.9000900090009001,-0.024784256392075044
-0.03241529036618418,1.000100010001,-0.027313652386272258
-0.03534952591266649,1.1001100110011,-0.029803718926734057
-0.03823598071537271,1.2001200120012,-0.03225572496552531
-0.041076312291898454,1.3001300130013,-0.03467087320132978
-0.04387208839198242,1.4001400140014,-0.03705030481841509
-0.046624793353001404,1.5001500150015001,-0.03939510380921496
-0.04933583391986074,1.6001600160016,-0.04170630092239125
-0.052006544580357694,1.7001700170017,-0.04398487727364386
-0.05463819246175161,1.8001800180018002,-0.04623176765246684
-0.05723198182954026,1.9001900190019,-0.04844786355447339
-0.059789058225220404,2.000200020002,-0.05063401596571526
-0.062310512276063657,2.1002100210021,-0.05279103792262141
-0.06479738320660744,2.2002200220022,-0.054919706868683194
-0.06725066207857944,2.3002300230023,-0.05702076682679513
-0.06967129478332912,2.4002400240024,-0.059094930404209545
-0.07206018480846887,2.5002500250025,-0.06114288064530393
-0.0744181957983161,2.6002600260026,-0.06316527274582395
-0.07674615392583328,2.7002700270027002,-0.06516273564087827
-0.07904485009207518,2.8002800280028,-0.06713587347773597
-0.08131504196762829,2.9002900290029,-0.06908526698337836
-0.0835574558891784,3.0003000300030003,-0.0710114747357905
-0.08577278862311222,3.1003100310031,-0.07291503434709612
-0.0879617090069661,3.2003200320032,-0.07479646356586633
-0.09012485947855253,3.3003300330033003,-0.07665626130523473
-0.09226285750169894,3.4003400340034,-0.07849490860282637
-0.09437629689674387,3.5003500350035,-0.08031286951795347
-0.09646574908320549,3.6003600360036003,-0.08211059197102233
-0.09853176424139387,3.7003700370037,-0.08388850852965224
-0.10057487239914353,3.8003800380038,-0.08564703714560085
-0.10259558444931904,3.9003900390039004,-0.08738658184622139
-0.10459439310325624,4.000400040004,-0.08910753338385702
-0.10657177378487459,4.1004100410041,-0.09081026984627838
