plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
emi20240202t165156p11010-F,33.43942397193531,-87.16497069335698,2024-02-02T16:51:56+00,Coal Mining (1B1a),CH4,mfa,"[-87.20724598545515, 33.363139263815306, -87.08123294459817, 33.46832190517366]",emi,2024-03-07 16:50:56.142524+00:00,,,,,1107.1599364112894,305.5798976556315,0.431884765625,0.11920166015625,353.8886959240939,95.75562895335416,hrrr,ISS,NASA-JPL EMIT
emi20240203t095138p07003-A,28.635977945175796,7.536742514806946,2024-02-03T09:51:38+00,Oil & Gas (1B2),CH4,mfa,"[7.494819387864445, 28.605392542916142, 7.561004672926686, 28.66348303918711]",emi,2024-02-22 17:50:24.775481+00:00,,,,,2922.8654455053697,586.960239715547,3.7870370370370368,0.7605003406807802,57.996324163587666,6.98263051748639,openmeteo,ISS,NASA-JPL EMIT
emi20240203t095138p07003-B,28.6016198927246,7.259193839760144,2024-02-03T09:51:38+00,Oil & Gas (1B2),CH4,mfa,"[7.0917941074482815, 28.499984706847613, 7.2792980124829105, 28.66463755562069]",emi,2024-02-22 17:50:52.893691+00:00,,,,,3732.2389805880475,797.6060645553948,3.8796296296296293,0.8291044965008751,59.99999999999999,5.719037250428076,openmeteo,ISS,NASA-JPL EMIT
emi20240203t095138p07003-C,28.722218884281787,7.521341330644532,2024-02-03T09:51:38+00,Oil & Gas (1B2),CH4,mfa,"[7.477532062893935, 28.688783045565625, 7.544346769591076, 28.746874177955597]",emi,2024-02-22 17:50:34.055907+00:00,,,,,1125.1226225686844,199.348123440583,3.657407407407407,0.6480158595156554,59.00000000000001,6.537291480205905,openmeteo,ISS,NASA-JPL EMIT
emi20240204t165448p11032-A,42.355124446283156,-85.01576813405318,2024-02-04T16:54:48+00,Solid Waste (6A),CH4,mfa,"[-85.0888629177985, 42.315931234715876, -85.00123998714189, 42.38069012318689]",emi,2024-02-28 03:33:50.784922+00:00,,,,,1911.6971385552831,608.2391316808827,1.5078125,0.479736328125,17.928336448576566,80.05755226858238,hrrr,ISS,NASA-JPL EMIT
emi20240205t160200p11007-A,28.187969195031826,-99.16933520598185,2024-02-05T16:02:00+00,Oil & Gas (1B2),CH4,mfa,"[-99.19814352039573, 28.155151734081603, -99.133236344858, 28.212869501653163]",emi,2024-02-28 03:30:46.105669+00:00,,,,,1117.5996155229684,219.59113600671006,6.22265625,1.22265625,336.1797562507156,10.849203326219637,hrrr,ISS,NASA-JPL EMIT
emi20240205t160200p11007-B,28.213524258534562,-99.13285775735963,2024-02-05T16:02:00+00,Oil & Gas (1B2),CH4,mfa,"[-99.16265524650038, 28.18107051369118, -99.09773230784162, 28.238788298575297]",emi,2024-02-28 03:30:46.134777+00:00,,,,,4317.586195469033,756.0385833432656,6.40234375,1.12109375,337.7267923901762,9.462434152650786,hrrr,ISS,NASA-JPL EMIT
emi20240212t214832p14024-C,31.94751817333865,-103.04458267061783,2024-02-12T21:48:32+00,Oil & Gas (1B2),CH4,mfa,"[-103.07669833921236, 31.91921935269123, -103.00834602793046, 31.976718274325762]",emi,2024-03-01 21:49:36.068695+00:00,,,,,2308.805592574067,196.59210691730217,4.52734375,0.385498046875,289.7043692509566,3.030342271732494,hrrr,ISS,NASA-JPL EMIT
emi20240212t214832p14024-G,32.01440715965484,-102.51816177093173,2024-02-12T21:48:32+00,Oil & Gas (1B2),CH4,mfa,"[-102.55133745974366, 31.984319568719016, -102.48177187207261, 32.04280591708711]",emi,2024-03-01 21:49:36.369023+00:00,,,,,2080.3881893794196,110.3454710194809,4.9296875,0.261474609375,282.37041264852036,2.329930919935566,hrrr,ISS,NASA-JPL EMIT
emi20240212t214954p14031-A,28.18715227618982,-99.16283958152894,2024-02-12T21:49:54+00,Oil & Gas (1B2),CH4,mfa,"[-99.19198968122164, 28.154284926480766, -99.1266025140196, 28.212429874843128]",emi,2024-03-01 21:49:36.306650+00:00,,,,,10050.92449959613,491.6213070454629,5.390625,0.263671875,325.9399503074108,6.96246129803366,hrrr,ISS,NASA-JPL EMIT
emi20240213t114455p08013-A,30.352178508177218,46.83560713833464,2024-02-13T11:44:55+00,Oil & Gas (1B2),CH4,mfa,"[46.79975865274153, 30.322262555315863, 46.86709947514272, 30.38087902785373]",emi,2024-03-01 21:49:36.428217+00:00,,,,,657.7923698979188,294.55373308260147,1.0925925925925926,0.4892535116156633,137.7668449251636,73.68387351380372,openmeteo,ISS,NASA-JPL EMIT
emi20240214t105745p07024-A,30.20662834467221,53.27238321523643,2024-02-14T10:57:45+00,Oil & Gas (1B2),CH4,mfa,"[53.218178792293145, 30.186146928402838, 53.42268825318128, 30.362259736625596]",emi,2024-03-01 01:11:00.144970+00:00,,,,,42530.80067261658,3900.581554618692,4.87962962962963,0.44752022124424307,210.0,0.8165069446126587,openmeteo,ISS,NASA-JPL EMIT
emi20240214t105745p07024-B,29.74305086697072,53.24752260399663,2024-02-14T10:57:45+00,Oil & Gas (1B2),CH4,mfa,"[53.21817508788521, 29.720178916002396, 53.285213735153704, 29.77838220364764]",emi,2024-03-01 21:49:36.277800+00:00,,,,,1022.7510395159503,235.83815023944663,2.3796296296296298,0.5487234218529279,221.99322989193024,9.432271391199704,openmeteo,ISS,NASA-JPL EMIT
emi20240215t193425p13030-A,10.051141795588322,-64.88769578345152,2024-02-15T19:34:25+00,Oil & Gas (1B2),CH4,mfa,"[-64.91923364223037, 10.017142598880506, -64.85750447956684, 10.0784628867248]",emi,2024-03-01 21:49:36.612977+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20240216t092533p06010-A,22.982614854253825,72.56838773613995,2024-02-16T09:25:33+00,Solid Waste (6A),CH4,mfa,"[72.52960704256567, 22.946931068260213, 72.59483306332848, 23.007504244805737]",emi,2024-03-01 21:49:36.039747+00:00,,,,,1943.5491637543607,198.46424314316673,3.3611111111111107,0.3432176480157527,63.334994283783814,5.738480924506679,openmeteo,ISS,NASA-JPL EMIT
emi20240216t105741p07006-A,24.61704969889975,46.89157152689262,2024-02-16T10:57:41+00,Solid Waste (6A),CH4,mfa,"[46.851883000256784, 24.59821304482856, 46.95719270668921, 24.69392913566057]",emi,2024-02-28 03:33:50.827939+00:00,,,,,4343.698266496283,1509.9821836092185,2.4166666666666665,0.8400960164602783,268.18390960338627,24.069941125080117,openmeteo,ISS,NASA-JPL EMIT
emi20240217t052632p04005-A,37.66164162751657,108.93841364730679,2024-02-17T05:26:32+00,Oil & Gas (1B2),CH4,mfa,"[108.90230545183493, 37.635346709728466, 108.97351717802162, 37.69220880834892]",emi,2024-03-07 16:50:23.031763+00:00,,,,,4609.507642003352,491.9751415662957,5.851851851851851,0.6245711834829648,188.3364845642301,4.4986448307450075,openmeteo,ISS,NASA-JPL EMIT
emi20240217t052707p04008-A,36.51036354084603,110.59474669951169,2024-02-17T05:27:07+00,Coal Mining (1B1a),CH4,mfa,"[110.56629318833393, 36.48661037550019, 110.6358618929702, 36.54301775170557]",emi,2024-03-07 16:50:30.716583+00:00,,,,,1571.4720624589272,709.9393237249424,0.7685185185185185,0.34719135665282735,245.27095421964037,48.690487072902684,openmeteo,ISS,NASA-JPL EMIT
